Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
Severe Weather - Thunderstorms,2014,6/30/14,8:00 PM,7/2/14,6:30 PM,Illinois,RFC,Unknown,"420,000","severe weather, thunderstorm"
Severe Weather - Thunderstorms,2014,6/30/14,11:20 PM,7/1/14,5:00 PM,North Central Indiana,RFC,Unknown,"127,000","severe weather, thunderstorm"
Severe Weather - Thunderstorms,2014,6/30/14,5:55 PM,7/1/14,2:53 AM,Southeast  Wisconsin,MRO,424,"120,000","severe weather, thunderstorm"
Fuel Supply Emergency - Coal,2014,6/27/14,1:21 PM,Unknown,Unknown,Wisconsin,MRO,Unknown,Unknown,"fuel supply emergency, coal"
Physical Attack - Vandalism,2014,6/24/14,2:54 PM,6/24/14,2:55 PM,"Nashville, Tennessee",SERC,Unknown,Unknown,"vandalism, physical"
Physical Attack - Vandalism,2014,6/19/14,8:47 AM,6/19/14,8:48 AM,"Nashville, Tennessee",SERC,Unknown,Unknown,"vandalism, physical"
Physical Attack - Vandalism,2014,6/18/14,9:52 AM,6/18/14,7:00 PM,Washington,WECC,Unknown,Unknown,"vandalism, physical"
Severe Weather - Thunderstorms,2014,6/18/14,5:00 PM,6/20/14,3:00 PM,Southeast Michigan,RFC,Unknown,"138,802","severe weather, thunderstorm"
Severe Weather - Thunderstorms,2014,6/15/14,12:00 AM,6/15/14,1:00 AM,Central Minnesota,MRO,Unknown,"55,951","severe weather, thunderstorm"
Suspected Physical Attack,2014,6/12/14,9:10 AM,6/12/14,9:11 AM,"Somervell County, Texas",ERCOT,Unknown,Unknown,"vandalism, physical"
Physical Attack - Vandalism,2014,6/11/14,4:00 PM,6/11/14,4:30 PM,Southern Mississippi,SERC,N/A,N/A,"vandalism, physical"
Suspected Physical Attack,2014,6/11/14,9:30 AM,6/11/14,9:31 AM,"Nogales, Arizona",WECC,N/A,N/A,"vandalism, physical"
Severe Weather - Thunderstorms,2014,6/10/14,9:50 PM,6/11/14,2:30 PM,West Virginia,RFC,Unknown,"66,383","severe weather, thunderstorm"
Electrical System Islanding,2014,6/9/14,11:07 AM,6/9/14,11:30 AM,"Alberta, Canada",WECC,Unknown,Unknown,islanding
Severe Weather - Thunderstorms,2014,6/7/14,11:00 PM,6/8/14,5:30 AM,"North and Central , Alabama",SERC,217,"65,000","severe weather, thunderstorm"
Fuel Supply Emergency - Coal,2014,6/6/14,1:00 PM,Unknown,Unknown,Texas,ERCOT,Unknown,Unknown,"fuel supply emergency, coal"
Severe Weather - Thunderstorms,2014,6/5/14,3:00 AM,6/7/14,11:45 PM,"Shelby County, Tennessee",SERC,494,"38,500","severe weather, thunderstorm"
Severe Weather - Thunderstorms,2014,6/5/14,1:06 PM,6/5/14,1:07 PM,West Tennessee,SERC,Unknown,"56,475","severe weather, thunderstorm"
Electrical System Islanding,2014,6/3/14,3:32 PM,6/3/14,3:59 PM,"Alberta, Canada",WECC,338,N/A,islanding
Physical Attack - Vandalism,2014,6/3/14,1:38 AM,6/3/14,1:43 AM,Texas,ERCOT,Unknown,Unknown,"vandalism, physical"
Physical Attack - Vandalism,2014,5/27/14,11:00 AM,5/27/14,4:53 PM,"Phoenix, Arizona",WECC,N/A,N/A,"vandalism, physical"
Electrical System Separation (Islanding),2014,5/26/14,12:31 PM,5/26/14,1:18 PM,"British Columbia & Alberta, Canada",WECC,Unknown,Unknown,islanding
Physical Attack - Vandalism,2014,5/23/14,3:00 PM,5/25/14,7:00 PM,North Carolina,SERC,Unknown,Unknown,"vandalism, physical"
Physical Attack - Vandalism,2014,5/20/14,7:01 AM,5/20/14,7:02 AM,"Duchesne County, Utah",WECC,N/A,N/A,"vandalism, physical"
Public Appeal to Reduce Electricity Usage - Wild Fires,2014,5/16/14,10:43 AM,5/16/14,9:00 PM,"San Diego & Orange Counties, California",WECC,"3,900","1,400,000","wild fire, public appeal"
Public Appeal to Reduce Electricity Usage - Wild Fires,2014,5/15/14,10:43 AM,Unknown,Unknown,"San Diego & Orange Counties, California",WECC,"3,300","1,400,000","wild fire, public appeal"
Suspected Physical Attack,2014,5/15/14,12:10 PM,5/15/14,12:13 PM,"Whiting, Indiana",RFC,N/A,N/A,"vandalism, physical"
Public Appeal to Reduce Electricity Usage - Wild Fires,2014,5/14/14,3:34 PM,Unknown,Unknown,"San Diego & Orange Counties, California",WECC,N/A,426,"wild fire, public appeal"
Physical Attack - Vandalism,2014,5/12/14,1:14 PM,5/12/14,1:15 PM,"Layton, Utah",WECC,Unknown,Unknown,"vandalism, physical"
Physical Attack - Vandalism,2014,5/11/14,6:38 PM,5/11/14,6:39 PM,"MISO North, Minnesota",MRO,Unknown,Unknown,"vandalism, physical"
Severe Weather - Heavy Winds,2014,5/9/14,6:00 PM,5/11/14,1:00 PM,Indiana,RFC,Unknown,"56,000","severe weather, wind"
Physical Attack,2014,5/8/14,8:39 AM,5/8/14,8:40 AM,"Imperial Valley, California",WECC,Unknown,Unknown,"vandalism, physical"
Physical Attack,2014,5/8/14,1:00 AM,5/8/14,1:01 AM,Mississippi,SERC,Unknown,Unknown,"vandalism, physical"
Severe Weather - Thunderstorms,2014,4/30/14,3:50 AM,4/30/14,2:00 PM,"Alabama, Florida, Georgia",SERC,296,"89,000","severe weather, thunderstorm"
Severe Weather - Thunderstorms,2014,4/29/14,11:30 PM,4/29/14,12:30 PM,"Mississippi, Alabama",SERC,355,"106,648","severe weather, thunderstorm"
Severe Weather - Thunderstorms,2014,4/29/14,9:37 AM,5/1/14,9:00 AM,"Northeastern Mississippi, Northern Alabama",SERC,Unknown,"57,000","severe weather, thunderstorm"
Electrical System Separation (Islanding),2014,4/27/14,9:15 AM,Unknown,Unknown,"Alberta, Canada",WECC,9750,"4,000,000",islanding
Physical Attack - Vandalism,2014,4/27/14,12:07 PM,4/27/14,12:09 PM,"Albany, Oregon",WECC,Unknown,Unknown,"vandalism, physical"
Physical Attack - Vandalism,2014,4/25/14,7:00 AM,4/25/14,7:30 AM,Delaware,RFC,Unknown,Unknown,"vandalism, physical"
Electrical System Separation (Islanding),2014,4/24/14,3:02 PM,4/24/14,5:13 PM,"Alberta, Canada",WECC,Unknown,Unknown,islanding
Load shedding of 100 Megawatts,2014,4/23/14,7:45 PM,4/23/14,8:37 PM,"Baton Rouge, Louisiana",SERC,163,"28,000",load shedding
Severe Weather,2014,4/12/14,8:00 PM,4/15/14,7:30 PM,Michigan,RFC,Unknown,"164,000",severe weather
Severe Weather - Thunderstorms,2014,4/12/14,6:15 PM,4/14/14,9:00 AM,Western and Central Michigan,RFC,Unknown,"50,000","severe weather, thunderstorm"
Physical Attack - Vandalism,2014,4/8/14,1:00 PM,4/8/14,1:01 PM,"Davis, California",WECC,Unknown,Unknown,"vandalism, physical"
Voltage Reduction,2014,4/8/14,11:09 AM,4/8/14,11:20 AM,Puerto Rico,PR,Unknown,Unknown,voltage reduction
Severe Weather - Wind,2014,4/4/14,3:30 AM,4/4/14,8:15 AM,Central Arkansas,SERC,Unknown,"57,200","severe weather, wind"
Fuel Supply Emergency - Coal,2014,4/3/14,12:00 AM,Unknown,Unknown,Texas,TRE,Unknown,Unknown,"fuel supply emergency, coal"
Fuel Supply Emergency - Coal,2014,4/3/14,2:45 PM,4/9/14,11:53 AM,Wisconsin,MRO,Unknown,Unknown,"fuel supply emergency, coal"
System Wide Voltage Reduction,2014,3/31/14,3:41 PM,3/31/14,8:08 PM,Puerto Rico,PR,Unknown,Unknown,voltage reduction
Electrical System Separation (Islanding),2014,3/26/14,1:37 PM,3/26/14,2:33 PM,Montana,WECC,Unknown,Unknown,islanding
Physical Attack,2014,3/26/14,4:00 PM,4/10/14,12:00 PM,Iowa,MRO,N/A,N/A,"vandalism, physical"
Physical Attack - Vandalism,2014,3/24/14,11:07 AM,3/24/14,11:08 AM,"Salt Lake City, Utah",WECC,N/A,N/A,"vandalism, physical"
Suspected Cyber Attack,2014,3/20/14,12:00 AM,3/20/14,12:01 AM,New York,NPCC,Unknown,Unknown,"vandalism, cyber"
Physical Attack - Sabatoge,2014,3/17/14,5:25 PM,3/18/14,12:56 AM,"Glendale, Arizona",WECC,N/A,N/A,vandalism
Physical Attack - Vandalism,2014,3/14/14,12:34 PM,3/14/14,4:45 PM,"Boone County, Iowa",MRO,Unknown,Unknown,"vandalism, physical"
Severe Weather - High Winds,2014,3/12/14,7:35 PM,3/13/14,12:00 PM,North Carolina,SERC,250,"61,377","severe weather, wind"
Suspected Physical Attack,2014,3/11/14,12:00 AM,3/13/14,12:00 AM,"Boone County, Iowa",MRO,Unknown,Unknown,"vandalism, physical"
Severe Weather - Winter Storm,2014,3/7/14,3:30 AM,3/7/14,9:00 PM,"Triad, North Carolina",SERC,1500,"370,900","severe weather, winter storm"
Physical Attack,2014,3/5/14,5:06 PM,3/5/14,5:07 PM,"Salt Lake City, Utah",WECC,Unknown,Unknown,"vandalism, physical"
Fuel Supply Emergency - Coal,2014,3/4/14,9:06 AM,3/17/14,9:06 AM,"Weston, Wisconsin",MRO,Unknown,Unknown,"fuel supply emergency, coal"
Suspected Physical Attack,2014,3/3/14,5:25 PM,3/3/14,5:25 PM,New York,NPCC,Unknown,Unknown,"vandalism, physical"
Severe Weather - Winter Storm,2014,3/3/14,6:40 AM,3/3/14,3:28 PM,Tennessee,SERC,Unknown,"65,904","severe weather, winter storm"
Fuel Supply Emergency - Hydro,2014,3/3/14,1:48 AM,3/3/14,1:49 AM,"Mid-Columbia River Generation, Washington",WECC,630,Unknown,"fuel supply emergency, hydro"
Public Appeal due to Severe Weather - Cold,2014,3/2/14,7:00 PM,3/4/14,9:00 AM,ERCOT Region Texas,TRE,N/A,N/A,"severe weather, cold"
Severe Weather - Thunderstorms/High Winds,2014,2/21/14,2:53 AM,2/21/14,9:00 PM,Northern/Northeastern Georgia,SERC,221,"66,445","severe weather, thunderstorm, wind"
Severe Weather - Snow/Ice,2014,2/20/14,4:40 PM,2/21/14,11:59 PM,"Missouri, Illinois",SERC,Unknown,"66,000","severe weather, winter storm"
Physical Attack - Vandalism,2014,2/18/14,6:43 PM,2/18/14,6:44 PM,"Bend, Oregon",WECC,N/A,N/A,"vandalism, physical"
Physical Attack - Vandalism,2014,2/14/14,1:00 PM,2/14/14,3:00 PM,"Portland, Oregon",WECC,Unknown,Unknown,"vandalism, physical"
Severe Weather - Snow/Ice,2014,2/12/14,12:10 PM,2/15/14,3:20 PM,North Carolina,SERC,Unknown,"200,000","severe weather, winter storm"
Physical Attack - Vandalism,2014,2/12/14,2:15 PM,2/12/14,2:16 PM,Vermont,NPCC,Unknown,Unknown,"vandalism, physical"
Severe Weather - Snow/Ice,2014,2/12/14,11:03 AM,2/15/14,8:40 AM,South Carolina,SERC,700,"120,124","severe weather, winter storm"
Severe Weather - Snow/Ice,2014,2/12/14,7:48 AM,2/15/14,4:30 AM,Northern/Northeastern Georgia,SERC,"1,246","373,835","severe weather, winter storm"
Public Appeal to Reduce Electricity Usage,2014,2/7/14,4:50 PM,2/7/14,8:30 PM,Texas,TRE,Unknown,Unknown,public appeal
Public Appeal to Reduce Electricity Usage,2014,2/7/14,4:30 PM,2/8/14,9:00 AM,ERCOT Region Texas,TRE,Unknown,Unknown,public appeal
Fuel Supply Emergency - Coal,2014,2/7/14,7:00 AM,3/21/14,8:00 AM,Niagara County New York,NPCC,675,Unknown,"fuel supply emergency, coal"
Fuel Supply Emergency - Natural Gas,2014,2/6/14,1:00 PM,2/6/14,10:00 PM,California,WECC,"4,000",Unknown,"fuel supply emergency, natural gas"
Public Appeal to Reduce Electricity Usage,2014,2/6/14,1:58 PM,2/6/14,8:40 PM,Rio Grande Valley Texas,TRE,Unknown,Unknown,public appeal
Fuel Supply Emergency - Natural Gas,2014,2/6/14,2:15 PM,2/6/14,7:39 PM,California,WECC,611,Unknown,"fuel supply emergency, natural gas"
Fuel Supply Emergency - Natural Gas,2014,2/6/14,1:05 PM,2/6/14,7:15 PM,Northern California,WECC,160,Unknown,"fuel supply emergency, natural gas"
Public Appeal to Reduce Electricity Usage,2014,2/6/14,3:35 PM,2/7/14,11:30 AM,ERCOT Region Texas,TRE,Unknown,Unknown,public appeal
Severe Weather - Snow/Ice,2014,2/5/14,1:00 AM,2/9/14,8:40 PM,Pennsylvania,RFC,Unknown,"144,000","severe weather, winter storm"
Severe Weather - Snow/Ice,2014,2/5/14,12:00 AM,2/9/14,6:00 PM,"Maryland, West Virginia",RFC,Unknown,"101,580","severe weather, winter storm"
Severe Weather - Ice,2014,2/5/14,8:05 AM,2/5/14,8:06 AM,"Baltimore, Maryland",RFC,800,"181,000","severe weather, winter storm"
Fuel Supply Emergency - Coal,2014,2/5/14,7:00 AM,2/23/14,7:00 AM,New York,NPCC,300,Unknown,"fuel supply emergency, coal"
Severe Weather - Snow/Ice,2014,2/5/14,5:00 AM,2/5/14,5:01 AM,Pennsylvania,RFC,Unknown,"715,000","severe weather, winter storm"
Severe Weather - Snow/Ice,2014,2/5/14,7:35 AM,2/7/14,4:03 AM,"Lancaster Region, Pennsylvania",RFC,Unknown,"62,159","severe weather, winter storm"
Physical Attack - Vandalism,2014,1/30/14,3:00 PM,Unknown,Unknown,Arizona,WECC,Unknown,Unknown,"vandalism, physical"
Physical Attack - Vandalism,2014,1/29/14,4:00 PM,1/29/14,4:44 PM,Unknown,MRO,Unknown,Unknown,"vandalism, physical"
Public Appeal due to Severe Weather - Cold,2014,1/27/14,2:20 PM,1/28/14,9:00 PM,Maryland,RFC,Unknown,Unknown,"severe weather, cold"
Physical Attack,2014,1/26/14,11:00 PM,Unknown,Unknown,New Jersey,RFC,Unknown,Unknown,"vandalism, physical"
Physical Attack - Vandalism,2014,1/26/14,9:00 PM,1/27/14,11:00 AM,Oregon,WECC,N/A,N/A,"vandalism, physical"
Physical Attack - Vandalism,2014,1/25/14,10:00 AM,1/25/14,11:00 AM,"Madison, Wisconsin",MRO,Unknown,Unknown,"vandalism, physical"
Physical Attack - Vandalism,2014,1/24/14,3:30 PM,1/24/14,5:00 PM,Wisconsin,MRO,Unknown,Unknown,"vandalism, physical"
Fuel Supply Emergency - Coal,2014,1/24/14,12:00 AM,4/9/14,11:53 AM,Wisconsin,RFC,Unknown,Unknown,"fuel supply emergency, coal"
Physical Attack - Vandalism,2014,1/23/14,9:17 PM,1/24/14,5:00 PM,"Wynoochee, Washington",WECC,Unknown,Unknown,"vandalism, physical"
Public Appeal due to Severe Weather - Cold,2014,1/23/14,4:00 PM,1/24/14,12:00 PM,Tennessee,SERC,Unknown,Unknown,"severe weather, cold"
Public Appeal due to Severe Weather - Cold,2014,1/23/14,4:00 AM,1/24/14,12:00 PM,Tennessee,SERC,Unknown,Unknown,"severe weather, cold"
Public Appeal due to Severe Weather - Cold,2014,1/23/14,1:04 PM,1/24/14,9:00 AM,Maryland,RFC,Unknown,Unknown,"severe weather, cold"
Physical Attack - Vandalism,2014,1/22/14,9:45 AM,1/22/14,8:19 PM,Ohio,RFC,Unknown,Unknown,"vandalism, physical"
Physical Attack - Vandalism,2014,1/22/14,1:55 PM,1/22/14,2:55 PM,Wisconsin,MRO,Unknown,Unknown,"vandalism, physical"
Suspected Physical Attack,2014,1/22/14,9:15 PM,1/23/14,3:08 AM,"Burlington County, New Jersey",RFC,Unknown,Unknown,"vandalism, physical"
Physical Attack - Vandalism,2014,1/22/14,12:30 AM,1/22/14,2:45 AM,Wisconsin,MRO,Unknown,Unknown,"vandalism, physical"
Physical Attack - Vandalism,2014,1/21/14,5:00 PM,Unknown,Unknown,New Jersey,RFC,Unknown,Unknown,"vandalism, physical"
Physical Attack - Vandalism,2014,1/21/14,12:14 PM,1/21/14,12:39 PM,Missouri,SERC,10,Unknown,"vandalism, physical"
Electrical System Islanding,2014,1/18/14,5:39 PM,Unknown,Unknown,Unknown,RFC,Unknown,Unknown,islanding
Public Appeal to Reduce Electricity Usage,2014,1/18/14,9:00 AM,1/18/14,9:45 AM,Texas,TRE,Unknown,Unknown,public appeal
Suspected Physical Attack,2014,1/17/14,12:20 PM,1/17/14,12:20 PM,Ohio,RFC,Unknown,Unknown,"vandalism, physical"
Physical Attack - Vandalism,2014,1/16/14,12:30 PM,1/16/14,1:57 PM,Arizona,WECC,N/A,N/A,"vandalism, physical"
Physical Attack - Vandalism,2014,1/15/14,2:32 PM,1/15/14,2:45 PM,Utah,WECC,Unknown,Unknown,"vandalism, physical"
Physical Attack - Vandalism,2014,1/13/14,4:44 PM,1/13/14,4:45 PM,Arizona,WECC,N/A,N/A,"vandalism, physical"
Voltage Reduction; Public Appeal; Load Shed 100+MW due to Severe Weather - Cold,2014,1/8/14,6:00 AM,1/8/14,9:00 AM,South Carolina,SERC,"4,545","677,858","severe weather, cold"
Voltage Reduction due to Severe Weather - Cold,2014,1/8/14,5:00 AM,1/8/14,6:30 AM,Unknown,RFC,576,Unknown,"severe weather, cold"
Voltage Reduction; Public Appeal; Load Shed 100+MW due to Severe Weather - Cold,2014,1/7/14,6:00 PM,1/7/14,11:00 PM,South Carolina,SERC,"4,853","677,858","severe weather, cold"
Public Appeal due to Severe Weather - Cold,2014,1/7/14,4:15 PM,1/8/14,1:20 PM,North Carolina,SERC,Unknown,Unknown,"severe weather, cold"
Voltage Reduction; Public Appeal due to Severe Weather - Cold,2014,1/7/14,7:58 AM,1/7/14,11:00 AM,North Carolina,SERC,"14,435",Unknown,"severe weather, cold, public appeal"
Fuel Supply Emergency due to Severe Weather - Cold,2014,1/7/14,9:30 AM,1/8/14,9:30 AM,"Piedmont North Carolina, Piedmont South Carolina",SERC,Unknown,Unknown,"severe weather, cold"
Fuel Supply Emergency - Natural Gas,2014,1/7/14,10:59 AM,1/9/14,9:00 AM,Illinois,RFC,N/A,N/A,"fuel supply emergency, natural gas"
Public Appeal due to Severe Weather - Cold,2014,1/7/14,9:00 PM,1/8/14,9:00 AM,Unknown,RFC,Unknown,Unknown,"severe weather, cold"
Public Appeal due to Severe Weather - Cold,2014,1/7/14,6:00 AM,1/7/14,8:30 AM,Northeast Tennessee,SERC,Unknown,Unknown,"severe weather, cold"
Public Appeal due to Severe Weather - Cold,2014,1/7/14,6:00 AM,1/7/14,8:30 AM,Tennessee,SERC,Unknown,Unknown,"severe weather, cold"
Severe Weather - Cold,2014,1/7/14,6:18 AM,1/7/14,6:19 AM,Pennsylvania,RFC,Unknown,Unknown,"severe weather, cold"
Public Appeal due to Severe Weather - Cold,2014,1/6/14,10:00 PM,1/6/14,10:01 PM,Kentucky,RFC,Unknown,Unknown,"severe weather, cold"
Public Appeal due to Severe Weather - Cold,2014,1/6/14,8:45 PM,1/7/14,9:00 PM,Unknown,RFC,Unknown,Unknown,"severe weather, cold"
Voltage Reduction due to Severe Weather - Cold,2014,1/6/14,7:50 PM,1/6/14,8:49 PM,Pennsylvania,RFC,200,"62,000","severe weather, cold"
Voltage Reduction due to Severe Weather - Cold,2014,1/6/14,7:52 PM,1/6/14,8:45 PM,Delaware,RFC,Unknown,Unknown,"severe weather, cold"
Voltage Reduction due to Severe Weather - Cold,2014,1/6/14,7:50 PM,1/6/14,8:44 PM,District of Columbia,RFC,Unknown,Unknown,"severe weather, cold"
Voltage Reduction due to Severe Weather - Cold,2014,1/6/14,7:50 PM,1/6/14,8:44 PM,Unknown,RFC,Unknown,Unknown,"severe weather, cold"
Voltage Reduction due to Severe Weather - Cold,2014,1/6/14,7:50 PM,1/6/14,8:44 PM,Pennsylvania,RFC,Unknown,Unknown,"severe weather, cold"
Vandalism,2014,1/6/14,2:37 PM,1/6/14,2:38 PM,Utah,RFC,N/A,N/A,vandalism
Public Appeal due to Severe Weather - Cold,2014,1/6/14,7:01 AM,1/7/14,9:00 AM,Texas,TRE,N/A,N/A,"severe weather, cold"
Physical Attack,2013,12/30/13,11:00 AM,12/30/13,11:01 AM,Salt Lake County Utah,WECC,N/A,N/A,"vandalism, physical"
Physical Attack,2013,12/30/13,11:00 AM,1/1/14,8:00 AM,North of Roosevelt lake Arizona,WECC,N/A,N/A,"vandalism, physical"
Physical Attack,2013,12/27/13,9:43 AM,12/27/13,12:43 PM,Gilabend Arizona,WECC,N/A,N/A,"vandalism, physical"
Severe Weather - Ice/Snow,2013,12/23/13,3:20 PM,12/25/13,11:32 AM,Central Maine Maine,NPCC,Unknown,"52,500","severe weather, winter storm"
Severe Weather - Ice/Snow,2013,12/22/13,6:16 AM,12/24/13,11:59 PM,Frontier/Genesee/Northern New York,NPCC,Unknown,"59,000","severe weather, winter storm"
Severe Weather - Ice/Snow,2013,12/22/13,3:28 AM,12/28/13,11:45 PM,"Southern Lower Penninsula, Michigan",RFC,Unknown,"50,000","severe weather, winter storm"
Severe Weather - Ice/Snow,2013,12/22/13,6:30 AM,12/25/13,5:12 AM,Michigan,RFC,350,"140,735","severe weather, winter storm"
Fuel Supply Emergencies (Coal),2013,12/13/13,11:00 AM,12/27/13,11:00 AM,Texas,TRE,Unknown,Unknown,"fuel supply emergency, coal"
Fuel Supply Emergencies (Coal),2013,12/13/13,11:00 AM,12/27/13,11:00 AM,Texas,TRE,Unknown,Unknown,"fuel supply emergency, coal"
Suspected Physical Attack,2013,12/10/13,1:01 AM,12/11/13,1:01 AM,Arizona,WECC,Unknown,Unknown,"vandalism, physical"
Severe Weather - Ice/Snow,2013,12/9/13,6:54 AM,12/9/13,2:22 PM,Virginia Service Territory,SERC,293,"88,000","severe weather, winter storm"
Severe Weather - Ice/Snow,2013,12/6/13,1:51 AM,12/11/13,12:00 PM,"Greater Houston, Texas",TRE,Unknown,"881,000","severe weather, winter storm"
"Physical Attack - Vandalism, Theft",2013,12/6/13,8:47 AM,12/6/13,8:49 AM,"Saratoga, Utah",WECC,N/A,N/A,"vandalism, physical"
Load Shed 100+ MW,2013,12/4/13,5:00 AM,12/4/13,4:17 PM,"Idaho Falls Area Idaho, Utah-Idaho Border Utah",WECC,150,Unknown,load shedding
Physical Attack - Vandalism,2013,11/24/13,7:38 AM,11/24/13,7:39 AM,Salt Lake County Utah,WECC,N/A,N/A,"vandalism, physical"
Severe Weather - Wind Storm,2013,11/21/13,7:45 PM,11/22/13,3:20 AM,Northern California,WECC,150,"89,500","severe weather, wind"
Physical Attack - Vandalism,2013,11/20/13,3:08 AM,11/20/13,3:09 AM,Salt Lake County Utah,WECC,Unknown,Unknown,"vandalism, physical"
Severe Weather - Thunderstorms,2013,11/17/13,2:31 PM,11/17/13,10:30 PM,Entire ComEd Territory Illinois,RFC,Unknown,"190,000","severe weather, thunderstorm"
Severe Weather - Ice and Snow Storm,2013,11/17/13,7:00 AM,11/20/13,6:54 PM,Michigan,RFC,Unknown,"325,325","severe weather, winter storm"
Severe Weather - Thunderstorms,2013,11/17/13,4:19 PM,11/18/13,6:00 PM,"Indiana, Michigan",RFC,Unknown,"77,346","severe weather, thunderstorm"
Severe Weather - Thunderstorms,2013,11/17/13,4:47 PM,11/20/13,4:47 PM,Central Indiana,RFC,Unknown,"61,705","severe weather, thunderstorm"
Severe Weather - Thunderstorms,2013,11/17/13,4:45 PM,11/21/13,4:45 PM,Entire Lower Peninsula Michigan,RFC,Unknown,"50,000","severe weather, thunderstorm"
System-wide voltage reductions of 3 percent or more,2013,11/17/13,12:35 PM,11/17/13,1:40 PM,"Rochelle, Indiana",RFC,38,"7,500",voltage reduction
Severe Weather - Thunderstorms,2013,11/17/13,1:06 PM,11/20/13,1:06 PM,North Central Indiana,RFC,Unknown,"75,065","severe weather, thunderstorm"
Severe Weather - Tornadoes,2013,11/17/13,4:47 PM,11/20/13,11:59 AM,Central Indiana,RFC,535,"61,705","severe weather, tornado"
Severe Weather - Tornadoes,2013,11/17/13,12:35 PM,11/20/13,11:00 AM,"Central Missouri, Central Illinois",SERC,Unknown,"200,000","severe weather, tornado"
Physical Attack - Vandalism,2013,11/16/13,3:15 PM,11/16/13,3:16 PM,"Salt Lake County, Utah",WECC,N/A,N/A,"vandalism, physical"
Electrical System Separation (Islanding),2013,11/12/13,2:04 PM,11/12/13,2:05 PM,"Valle, California",WECC,55,"48,400",islanding
Loss of Power from Wholesale Provider; Major Distribution Disruption,2013,11/12/13,9:14 AM,11/12/13,10:30 AM,Eastern Central New Mexico,SPP,Unknown,Unknown,fuel supply emergency
Physical Attack,2013,11/5/13,10:10 AM,11/7/13,10:10 AM,Indiana,RFC,Unknown,Unknown,"vandalism, physical"
Physical Attack - Vandalism,2013,11/4/13,9:04 AM,11/4/13,9:05 AM,Connecicut,NPCC,Unknown,Unknown,"vandalism, physical"
Physical Attack - Vandalism,2013,11/2/13,8:25 AM,11/2/13,8:26 AM,"Salt Lake City, Utah",WECC,N/A,N/A,"vandalism, physical"
Severe Weather - Heavy Winds,2013,11/2/13,12:00 AM,11/4/13,6:00 AM,"King, Whatcom, and Skagit, Washington",WECC,Unknown,"105,000","severe weather, wind"
Physical Attack - Vandalism,2013,11/1/13,1:26 PM,11/1/13,1:27 PM,"Wilmington, Delaware",RFC,Unknown,Unknown,"vandalism, physical"
Severe Weather - Hail Storm,2013,10/27/13,4:27 AM,10/27/13,10:27 PM,"Houston, Texas",TRE,Unknown,"171,117","severe weather, hail"
Suspected Physical Attack,2013,10/26/13,7:13 AM,10/26/13,7:14 AM,Arizona,WECC,Unknown,Unknown,"vandalism, physical"
Electrical System Separation (Islanding),2013,10/21/13,5:18 AM,10/21/13,5:33 AM,Location Unknown,WECC,115,433,islanding
Physical Attack,2013,10/19/13,2:32 PM,10/19/13,10:00 PM,California,WECC,Unknown,Unknown,"vandalism, physical"
Cyber Event with Potential to Cause Impact,2013,10/16/13,11:15 AM,10/16/13,6:00 PM,"Roxboro Plant, North Carolina",SERC,0,0,"vandalism, cyber"
Physical Attack,2013,10/11/13,2:30 PM,10/11/13,6:30 PM,"Keo, Arkansas",SERC,Unknown,Unknown,"vandalism, physical"
Physical Attack,2013,10/6/13,7:25 AM,10/6/13,9:15 AM,"Jacksonville, Arkansas",SPP,Unknown,"9,200","vandalism, physical"
Physcial Attack; Sabotage,2013,9/29/13,12:00 AM,9/29/13,1:00 AM,Cabot Arkansas,SERC,Unknown,Unknown,"vandalism, physical"
Severe Weather - Thunderstorms,2013,9/11/13,4:00 PM,9/15/13,4:00 PM,Southeastern Michigan,RFC,400,"75,000","severe weather, thunderstorm"
Load Shed of 100+ MW,2013,9/10/13,5:42 PM,9/11/13,12:02 AM,"Erie, Pennsylvania",RFC,105,Unknown,load shedding
Severe Weather - Thunderstorms,2013,8/30/13,7:30 PM,8/31/13,1:30 AM,Entire ComEd territory Illinois,RFC,Unknown,"157,000","severe weather, thunderstorm"
Electrical System Separation (Islanding); Severe Weather,2013,8/29/13,2:57 PM,8/29/13,3:29 PM,"Ashland, Wisconsin",MRO,15,"7,000","islanding, severe weather"
Physcial Attack; Vandalism,2013,8/29/13,9:50 AM,8/29/13,9:50 AM,"Joplin, Missouri",SPP,Unknown,Unknown,"vandalism, physical"
Physcial Attack; Vandalism,2013,8/28/13,9:30 AM,8/28/13,9:31 AM,Sweetwater County Wyoming,WECC,N/A,N/A,"vandalism, physical"
Physcial Attack; Vandalism,2013,8/26/13,8:15 PM,8/26/13,8:16 PM,Tacoma Washington,WECC,Unknown,Unknown,"vandalism, physical"
Physcial Attack; Vandalism,2013,8/23/13,7:30 AM,8/23/13,7:31 AM,"New Castle, Delaware",RFC,Unknown,N/A,"vandalism, physical"
Physcial Attack; Vandalism,2013,8/22/13,12:55 PM,8/22/13,2:45 PM,"New Castle, Delaware",RFC,Unknown,Unknown,"vandalism, physical"
Physcial Attack; Sabotage,2013,8/22/13,8:40 AM,8/22/13,11:49 AM,"Gila River, Arizona",WECC,N/A,N/A,"vandalism, physical"
