Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
Severe Weather/Transmission Interruption,2017,03/08/2017,1:30 PM,03/08/2017,4:30 PM,New York,NPCC,Unknown,106869,
Severe Weather,2017,03/08/2017,3:33 PM,Unknown,Unknown,New York,NPCC,Unknown,50000,
Vandalism,2017,03/12/2017,9:56 AM,03/12/2017,11:20 AM,California: Imperial County;,WECC,0,1,
Severe Weather,2017,03/14/2017,12:32 PM,Unknown,Unknown,Connecticut: Massachusetts: Rhode Island: New Hampshire: Maine: Vermont:,NPCC,Unknown,69647,
Severe Weather,2017,03/21/2017,8:00 PM,03/22/2017,9:15 AM,Georgia,SERC,857,257000,
Sabotage,2017,03/24/2017,6:29 AM,03/24/2017,7:13 AM,Oregon: Clatsop County;,WECC,0,0,
Suspicious Activity,2017,03/28/2017,4:07 PM,03/28/2017,4:08 PM,Oregon: Josephine County;,WECC,0,0,
Severe Weather,2017,03/29/2017,3:30 AM,03/31/2017,6:00 AM,Texas,TRE,Unknown,175000,
Vandalism,2017,03/31/2017,7:15 PM,03/31/2017,9:07 PM,Mississippi: DeSoto County;,SERC,0,0,
Severe Weather,2017,04/03/2017,11:00 AM,04/03/2017,8:00 PM,"Alabama, Georgia",SERC,290,86330,
Severe Weather,2017,04/06/2017,7:00 PM,Unknown,Unknown,California,WECC,Unknown,100000,
Fuel Supply Deficiency,2017,04/07/2017,4:16 AM,Unknown,Unknown,California: Fresno County,WECC,0,0,
Severe Weather,2017,04/07/2017,8:15 AM,04/08/2017,12:14 AM,"Oregon: Multnomah County, Washington County, Marion County, Clackamas County",WECC,Unknown,153867,
Severe Weather,2017,04/07/2017,4:33 AM,04/07/2017,8:20 AM,Oregon,WECC,100,64852,
Sabotage,2017,04/13/2017,7:50 AM,04/13/2017,8:07 AM,Washington: Pierce County,WECC,53,10000,
Sabotage,2017,04/17/2017,9:25 AM,04/17/2017,9:26 AM,Utah: Emery County,WECC,0,0,
 Vandalism,2017,04/20/2017,4:00 PM,04/20/2017,6:00 PM,Wyoming: Converse County,WECC,0,0,
 Vandalism,2017,04/21/2017,10:34 AM,04/21/2017,3:55 PM,Kentucky: Bullitt County,SERC,0,0,
System Operations,2017,04/21/2017,9:06 AM,04/21/2017,5:45 PM,"California: San Francisco, City and County of[10]",WECC,130,88000,
Vandalism,2017,04/23/2017,11:55 PM,04/23/2017,11:56 PM,Oregon: Multnomah County,WECC,0,0,
Severe Weather,2017,04/24/2017,5:32 AM,04/24/2017,6:33 AM,North Carolina: Mecklenburg County,SERC,240,74698,
Severe Weather,2017,04/30/2017,1:00 AM,04/30/2017,5:45 PM,"Arkansas, Louisiana, Mississippi",SERC,Unknown,145174,
Severe Weather,2017,05/01/2017,11:14 PM,05/01/2017,11:34 PM,Ohio,RFC,Unknown,92390,
Generation Inadequacy,2017,05/03/2017,7:05 PM,05/03/2017,9:00 PM,California,WECC,878,Unknown,
Generation Inadequacy,2017,05/03/2017,6:58 PM,05/03/2017,9:15 PM,California,WECC,572,0,
