,Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
1889,Severe Weather,2016,9/2/16,4:00 AM,9/2/16,4:00 PM,"Dixie, Florida",FRCC,225,90000,
1896,Generation Inadequacy,2016,9/12/16,12:30 PM,9/12/16,5:56 PM,"New Mexico: Bernalillo County, Sandoval County, Santa Fe County, Valencia County;",WECC,110,53753,
1900,Vandalism,2016,9/25/16,12:49 PM,9/25/16,6:20 PM,"Utah: Kane County, Garfield County; Arizona: Coconino County, Mohave County",WECC,20,10000,
1908,Severe Weather,2016,10/7/16,8:00 AM,10/9/16,1:00 PM,"Dixie, Florida",FRCC,413,165000,
1946,Transmission Interruption,2017,2/2/17,1:04 AM,2/2/17,5:00 AM,"New Mexico: Bernalillo County, Santa Fe County;",WECC,396,149223,
1981,System Operations,2017,4/21/17,9:06 AM,4/21/17,5:45 PM,"San Francisco, California ",WECC,130,88000,
1994,Vandalism,2017,5/21/17,4:44 PM,5/21/17,5:43 PM,"Lincoln, IL",WECC,21,9598,
2040,Severe Weather,2017,9/10/17,6:35 PM,9/13/17,5:00 PM,"Dixie, Florida",FRCC,4500,1000000,
2077,Severe Weather/Transmission Interruption,2017,12/10/17,1:25 AM,12/10/17,2:30 AM,"Santa Barbara, CA",WECC,110,51323,
2093,System Operations,2018,1/12/18,1:08 PM,1/12/18,2:53 PM,"Michigan: Midland County, Genesee County;",RF,41,23007,
2134,Severe Weather,2018,3/20/18,7:00 PM,3/25/18,6:30 AM,"New Jersey: Atlantic County, Camden County, Cape May County, Gloucester County, Salem County, Cumberland County, Burlington County;",RF,80,124000,
2409,Severe Weather/Transmission Interruption,2019,5/27/19,10:07 PM,5/28/19,3:00 AM,"Ohio: Montgomery County, Darke County, Mercer County, Miami County, Greene County;",RF,347,70000,
2421,Generation Inadequacy,2019,6/12/19,2:56 PM,6/12/19,3:50 PM,"Riverside, CA",WECC,982,30907,
2439,Severe Weather,2019,6/30/19,3:15 PM,6/30/19,4:15 PM,"New York: Nassau County, Suffolk County;",NPCC,3189,52498,
2456,Severe Weather,2019,7/21/19,11:00 PM,7/22/19,8:54 PM,"New York: Kings County, New York County, Queens County, Bronx County, Westchester County, Richmond County;",NPCC,60,45000,
2513,Severe Weather,2019,9/25/19,3:47 AM,9/25/19,3:40 PM,"Napa, CA",WECC,25,69524,
2547,Severe Weather/Distribution Interruption,2019,10/30/19,6:32 AM,11/1/19,1:29 PM,"Los Angeles, CA",WECC,285,114402,
2561,Severe Weather/Transmission Interruption,2019,11/20/19,9:49 AM,11/20/19,3:20 PM,"Colusa, CA",WECC,178,54000,
2567,Severe Weather,2019,11/27/19,12:00 PM,11/30/19,2:00 AM,"Michigan: Tuscola County, Sanilac County, Huron County, St. Clair County, Macomb County, Oakland County, Wayne County, Livingston County, Washtenaw County, Monroe County;",RF,30,107000,
2612,Severe Weather,2020,2/9/20,9:30 AM,2/9/20,9:40 PM,"Alameda, CA",WECC,500,145000,
2671,Severe Weather,2020,4/12/20,1:00 PM,4/12/20,7:27 PM,"Louisiana: Acadia Parish, Iberville Parish, Jefferson Davis Parish, Concordia Parish, Winn Parish, Catahoula Parish, Terrebonne Parish, St. Mary Parish;",SERC,122,37991,
2690,System Operations,2020,4/24/20,9:00 PM,4/24/20,9:33 PM,"Placer, CA",WECC,5,945,
2768,Severe Weather,2020,7/25/20,9:00 PM,7/26/20,4:00 PM,"Texas: Hidalgo County, Cameron County, Starr County, Kenedy County, Willacy County, Brooks County, Jim Hogg County;",TRE,125,84000,
2780,Severe Weather,2020,8/4/20,1:00 PM,8/4/20,11:59 PM,"New York: Nassau County, Suffolk County, Queens County;",NPCC,3907,420000,
2789,Severe Weather,2020,8/4/20,6:01 AM,8/6/20,3:30 PM,"North Carolina: Brunswick County, Columbus County, Pender County, Duplin County, Onslow County, Jones County, Craven County, Jones County, Beaufort County, Bertie County, Chowan County, Gates County, Perquimans County;",SERC,311,125987,
2807,System Operations,2020,8/14/20,6:45 PM,8/14/20,9:12 PM,"Kern, CA ",WECC,1419,132000,
2811,System Operations,2020,8/15/20,3:00 PM,8/15/20,7:45 PM,"Inyo, CA",WECC,200,70000,
2823,Transmission Interruption,2020,8/18/20,2:44 PM,8/18/20,3:14 PM,"Texas: Culberson County, Reeves County;",TRE,205,238,
2866,Severe Weather,2020,9/7/20,7:05 PM,9/8/20,10:00 PM,"Oregon: Multnomah County, Washington County, Clackamas County, Marion County, Yamhill County, Polk County;",WECC,2859,103000,
2919,Severe Weather,2020,10/29/20,2:00 AM,10/31/20,9:00 AM,"Butler, AL",SERC,0,90000,
2944,Severe Weather,2020,12/3/20,10:57 AM,12/4/20,3:02 PM,"Los Angeles, CA",WECC,132,51686,
2947,Severe Weather,2020,12/7/20,6:10 PM,12/8/20,9:09 PM,"Los Angeles, CA",WECC,286,76234,
